"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","L207H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L207H","Total","d",15,20,20,10,"0"," "
"1997/98","L208H","SMR01"," ",225,225,205,195,"",":"
"1997/98","L208H","SMR04"," ",130,130,70,125,"20"," "
"1997/98","L208H","Total","d",355,355,275,315,"20"," "
"1997/98","L209H","SMR01"," ",15,15,15,10,"",":"
"1997/98","L209H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L209H","Total","d",15,15,15,10,"0"," "
"1997/98","L211H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L211H","SMR04"," ",20,5,5,5,"20"," "
"1997/98","L211H","Total","d",20,5,5,5,"20"," "
"1997/98","L213V","SMR01"," ",0,0,0,0,"",":"
"1997/98","L213V","SMR04"," ",20,20,20,20,"70"," "
"1997/98","L213V","Total","d",20,20,20,20,"70"," "
"1997/98","L218H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L218H","SMR04"," ",85,85,80,55,"30"," "
"1997/98","L218H","Total","d",85,85,80,55,"30"," "
"1997/98","L302H","SMR01"," ",155,160,155,140,"",":"
"1997/98","L302H","SMR04"," ",535,525,495,425,"55"," "
"1997/98","L302H","Total","d",690,685,650,555,"55"," "
"1997/98","L304H","SMR01"," ",50,50,50,45,"",":"
"1997/98","L304H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L304H","Total","d",50,50,50,45,"0"," "
"1997/98","L305H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L305H","SMR04"," ",185,180,180,95,"50"," "
"1997/98","L305H","Total","d",185,180,180,95,"50"," "
"1997/98","L306H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L306H","SMR04"," ",10,10,10,5,"5"," "
"1997/98","L306H","Total","d",10,10,10,5,"5"," "
"1997/98","N101H","SMR01"," ",500,500,455,420,"",":"
"1997/98","N101H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N101H","Total","d",500,500,455,420,"0"," "
"1997/98","N102H","SMR01"," ",95,95,90,90,"",":"
"1997/98","N102H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N102H","Total","d",95,95,90,90,"0"," "
"1997/98","N103H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N103H","SMR04"," ",105,110,105,65,"25"," "
"1997/98","N103H","Total","d",105,110,105,65,"25"," "
"1997/98","N121H","SMR01"," ",30,30,30,30,"",":"
"1997/98","N121H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N121H","Total","d",30,30,30,30,"0"," "
"1997/98","N144V","SMR01"," ",0,0,0,0,"",":"
"1997/98","N144V","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N144V","Total","d",0,0,0,0,"0"," "
"1997/98","N151H","SMR01"," ",5,5,5,5,"",":"
"1997/98","N151H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N151H","Total","d",5,5,5,5,"0"," "
"1997/98","N152H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N152H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N152H","Total","d",0,0,0,0,"0"," "
"1997/98","N171H","SMR01"," ",5,5,5,5,"",":"
"1997/98","N171H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N171H","Total","d",5,5,5,5,"0"," "
"1997/98","N181H","SMR01"," ",10,10,10,10,"",":"
"1997/98","N181H","SMR04"," ",20,25,25,20,"25"," "
"1997/98","N181H","Total","d",30,35,35,25,"25"," "
"1997/98","N182H","SMR01"," ",10,10,10,10,"",":"
"1997/98","N182H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N182H","Total","d",10,10,10,10,"0"," "
"1997/98","N183H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N183H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N183H","Total","d",0,0,0,0,"0"," "
"1997/98","N195H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N195H","SMR04"," ",0,5,0,5,"0"," "
"1997/98","N195H","Total","d",0,5,0,5,"0"," "
"1997/98","N198H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N198H","SMR04"," ",1700,1750,1640,1300,"410"," "
"1997/98","N198H","Total","d",1700,1750,1640,1300,"410"," "
"1997/98","N331H","SMR01"," ",15,15,15,10,"",":"
"1997/98","N331H","SMR04"," ",55,55,55,40,"25"," "
"1997/98","N331H","Total","d",70,70,65,50,"25"," "
"1997/98","N332H","SMR01"," ",5,0,0,0,"",":"
"1997/98","N332H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N332H","Total","d",5,0,0,0,"0"," "
"1997/98","N333H","SMR01"," ",25,25,25,20,"",":"
"1997/98","N333H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N333H","Total","d",25,25,25,20,"0"," "
"1997/98","N334H","SMR01"," ",15,15,15,15,"",":"
"1997/98","N334H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N334H","Total","d",15,15,15,15,"0"," "
"1997/98","N335H","SMR01"," ",20,20,20,15,"",":"
"1997/98","N335H","SMR04"," ",35,35,35,20,"10"," "
"1997/98","N335H","Total","d",55,55,55,35,"10"," "
"1997/98","N336H","SMR01"," ",15,15,15,15,"",":"
"1997/98","N336H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N336H","Total","d",15,15,15,15,"0"," "
"1997/98","N337H","SMR01"," ",50,45,45,35,"",":"
"1997/98","N337H","SMR04"," ",0,0,0,0,"10"," "
"1997/98","N337H","Total","d",50,45,45,35,"10"," "
"1997/98","N351H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N351H","SMR04"," ",10,10,10,10,"25"," "
"1997/98","N351H","Total","d",15,15,15,15,"25"," "
"1997/98","N352H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N352H","SMR04"," ",10,10,10,10,"30"," "
"1997/98","N352H","Total","d",10,10,10,10,"30"," "
"1997/98","N406V","SMR01"," ",0,0,0,0,"",":"
"1997/98","N406V","SMR04"," ",50,55,55,40,"20"," "
"1997/98","N406V","Total","d",50,55,55,40,"20"," "
"1997/98","N411H","SMR01"," ",110,110,80,80,"",":"
"1997/98","N411H","SMR04"," ",300,295,275,225,"30"," "
"1997/98","N411H","Total","d",410,405,355,300,"30"," "
"1997/98","N431H","SMR01"," ",5,5,5,0,"",":"
"1997/98","N431H","SMR04"," ",15,20,15,10,"25"," "
"1997/98","N431H","Total","d",20,20,20,15,"25"," "
"1997/98","N432H","SMR01"," ",15,15,15,10,"",":"
"1997/98","N432H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N432H","Total","d",15,15,15,10,"0"," "
"1997/98","N433H","SMR01"," ",35,35,35,30,"",":"
"1997/98","N433H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N433H","Total","d",35,35,35,30,"0"," "
"1997/98","N434H","SMR01"," ",20,20,20,20,"",":"
