"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2004/05","S08000024","SMR04"," ",4760,4845,4175,3150,"800"," "
"2004/05","S08000025","Total","d",80,80,80,65,"0"," "
"2004/05","S08000025","SMR01"," ",80,80,80,65,"",":"
"2004/05","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2004/05","S08000026","Total","d",75,75,70,60,"0"," "
"2004/05","S08000026","SMR01"," ",75,75,70,60,"",":"
"2004/05","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2004/05","S08000030","Total","d",2630,2695,2365,1970,"415"," "
"2004/05","S08000030","SMR01"," ",495,485,465,425,"",":"
"2004/05","S08000030","SMR04"," ",2130,2210,1900,1600,"415"," "
"2004/05","S08000028","Total","d",350,350,340,240,"40"," "
"2004/05","S08000028","SMR01"," ",195,195,190,150,"",":"
"2004/05","S08000028","SMR04"," ",160,155,150,100,"40"," "
"2004/05","SB0802","Total","d",310,310,20,170,"225"," "
"2004/05","SB0802","SMR01"," ",0,0,0,0,"",":"
"2004/05","SB0802","SMR04"," ",310,310,20,170,"225"," "
"2005/06","S08000015","Total","d",2730,2750,2510,1935,"345"," "
"2005/06","S08000015","SMR01"," ",805,800,755,635,"",":"
"2005/06","S08000015","SMR04"," ",1925,1950,1755,1375,"345"," "
"2005/06","S08000016","Total","d",925,925,805,605,"110"," "
"2005/06","S08000016","SMR01"," ",300,295,255,220,"",":"
"2005/06","S08000016","SMR04"," ",625,625,550,415,"110"," "
"2005/06","S08000017","Total","d",900,885,800,650,"145"," "
"2005/06","S08000017","SMR01"," ",205,205,170,160,"",":"
"2005/06","S08000017","SMR04"," ",700,680,625,510,"145"," "
"2005/06","S08000029","Total","d",2065,2090,1810,1450,"325"," "
"2005/06","S08000029","SMR01"," ",295,295,235,225,"",":"
"2005/06","S08000029","SMR04"," ",1770,1795,1580,1250,"325"," "
"2005/06","S08000019","Total","d",1525,1545,1225,1055,"255"," "
"2005/06","S08000019","SMR01"," ",270,270,235,215,"",":"
"2005/06","S08000019","SMR04"," ",1255,1280,995,855,"255"," "
"2005/06","S08000020","Total","d",2665,2710,2425,2020,"435"," "
"2005/06","S08000020","SMR01"," ",725,720,660,585,"",":"
"2005/06","S08000020","SMR04"," ",1940,1985,1765,1480,"435"," "
"2005/06","S08000031","Total","d",9585,9630,8355,6620,"1425"," "
"2005/06","S08000031","SMR01"," ",2905,2905,2340,2040,"",":"
"2005/06","S08000031","SMR04"," ",6680,6725,6015,4800,"1425"," "
"2005/06","S08000022","Total","d",2425,2455,2270,1735,"270"," "
"2005/06","S08000022","SMR01"," ",1005,1005,875,730,"",":"
"2005/06","S08000022","SMR04"," ",1420,1450,1390,1100,"270"," "
"2005/06","S08000032","Total","d",3645,3655,3080,2445,"510"," "
"2005/06","S08000032","SMR01"," ",1005,1000,760,660,"",":"
"2005/06","S08000032","SMR04"," ",2640,2655,2320,1865,"510"," "
"2005/06","S08000024","Total","d",6075,6140,5235,4010,"730"," "
"2005/06","S08000024","SMR01"," ",1515,1505,1195,1080,"",":"
"2005/06","S08000024","SMR04"," ",4565,4635,4040,3070,"730"," "
"2005/06","S08000025","Total","d",45,45,45,45,"0"," "
"2005/06","S08000025","SMR01"," ",45,45,45,45,"",":"
"2005/06","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2005/06","S08000026","Total","d",65,65,65,45,"0"," "
"2005/06","S08000026","SMR01"," ",65,65,65,45,"",":"
"2005/06","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2005/06","S08000030","Total","d",2580,2615,2405,1925,"390"," "
"2005/06","S08000030","SMR01"," ",445,450,440,410,"",":"
"2005/06","S08000030","SMR04"," ",2135,2160,1965,1560,"390"," "
"2005/06","S08000028","Total","d",370,380,370,275,"35"," "
"2005/06","S08000028","SMR01"," ",210,210,210,165,"",":"
"2005/06","S08000028","SMR04"," ",160,165,160,120,"35"," "
"2005/06","SB0802","Total","d",215,230,30,145,"210"," "
"2005/06","SB0802","SMR01"," ",0,0,0,0,"",":"
"2005/06","SB0802","SMR04"," ",215,230,30,145,"210"," "
