"FinancialYear","CA","Dataset","DatasetQF","DischargesRate","PatientsRate"
"2002/03","S12000020","SMR01"," ",193.86,165.36
"2002/03","S12000020","SMR04"," ",501.77,325.01
"2002/03","S12000020","Total","d",695.63,473.26
"2002/03","S12000013","SMR01"," ",683.11,531.31
"2002/03","S12000013","SMR04"," ",740.04,398.48
"2002/03","S12000013","Total","d",1423.15,872.87
"2002/03","S12000021","SMR01"," ",209.73,176.61
"2002/03","S12000021","SMR04"," ",540.88,349.55
"2002/03","S12000021","Total","d",750.61,511.44
"2002/03","S12000050","SMR01"," ",176.73,133.33
"2002/03","S12000050","SMR04"," ",506.95,356.57
"2002/03","S12000050","Total","d",683.68,475.94
"2002/03","S12000023","SMR01"," ",336.26,284.53
"2002/03","S12000023","SMR04"," ",232.8,181.07
"2002/03","S12000023","Total","d",569.06,413.86
"2002/03","S12000048","SMR01"," ",107.3,96.2
"2002/03","S12000048","SMR04"," ",584.62,425.52
"2002/03","S12000048","Total","d",691.93,506.92
"2002/03","S12000038","SMR01"," ",197.33,171.21
"2002/03","S12000038","SMR04"," ",710.97,504.93
"2002/03","S12000038","Total","d",908.3,655.83
"2002/03","S12000026","SMR01"," ",278.99,227.84
"2002/03","S12000026","SMR04"," ",650.98,437.09
"2002/03","S12000026","Total","d",929.97,632.38
"2002/03","S12000027","SMR01"," ",454.55,318.18
"2002/03","S12000027","SMR04"," ",204.55,113.64
"2002/03","S12000027","Total","d",659.09,363.64
"2002/03","S12000028","SMR01"," ",264.12,210.4
"2002/03","S12000028","SMR04"," ",604.35,425.28
"2002/03","S12000028","Total","d",868.48,604.35
"2002/03","S12000029","SMR01"," ",151.93,112.3
"2002/03","S12000029","SMR04"," ",563.13,394.69
"2002/03","S12000029","Total","d",716.72,492.12
"2002/03","S12000030","SMR01"," ",98.12,92.35
"2002/03","S12000030","SMR04"," ",519.45,352.07
"2002/03","S12000030","Total","d",611.8,432.88
"2002/03","S12000039","SMR01"," ",231.08,182.72
"2002/03","S12000039","SMR04"," ",714.75,478.29
"2002/03","S12000039","Total","d",951.2,639.51
"2002/03","S12000040","SMR01"," ",199.54,149.65
"2002/03","S12000040","SMR04"," ",632.91,383.49
"2002/03","S12000040","Total","d",832.45,514.44
"2003/04","S12000033","SMR01"," ",183.96,140.96
"2003/04","S12000033","SMR04"," ",539.95,358.37
"2003/04","S12000033","Total","d",721.52,487.39
"2003/04","S12000034","SMR01"," ",127.57,105.95
"2003/04","S12000034","SMR04"," ",332.97,242.16
"2003/04","S12000034","Total","d",460.54,337.3
"2003/04","S12000041","SMR01"," ",110.4,87.4
"2003/04","S12000041","SMR04"," ",478.38,354.19
"2003/04","S12000041","Total","d",588.78,427.78
"2003/04","S12000035","SMR01"," ",467.39,351.92
"2003/04","S12000035","SMR04"," ",593.86,428.9
"2003/04","S12000035","Total","d",1061.26,709.34
"2003/04","S12000036","SMR01"," ",188.64,131.37
"2003/04","S12000036","SMR04"," ",607.46,406.47
"2003/04","S12000036","Total","d",796.09,519.87
"2003/04","S12000005","SMR01"," ",114.25,103.86
"2003/04","S12000005","SMR04"," ",592.02,373.91
"2003/04","S12000005","Total","d",706.27,467.39
"2003/04","S12000006","SMR01"," ",142.03,114.97
"2003/04","S12000006","SMR04"," ",530.91,365.21
"2003/04","S12000006","Total","d",672.93,459.89
"2003/04","S12000042","SMR01"," ",152.69,138.81
"2003/04","S12000042","SMR04"," ",652.42,458.08
"2003/04","S12000042","Total","d",805.11,579.54
"2003/04","S12000008","SMR01"," ",171.05,146.02
"2003/04","S12000008","SMR04"," ",521.49,371.3
"2003/04","S12000008","Total","d",688.36,500.63
"2003/04","S12000045","SMR01"," ",102.8,74.77
"2003/04","S12000045","SMR04"," ",331.78,252.34
"2003/04","S12000045","Total","d",434.58,322.43
"2003/04","S12000010","SMR01"," ",136.4,103.67
"2003/04","S12000010","SMR04"," ",567.44,354.65
"2003/04","S12000010","Total","d",703.84,447.4
"2003/04","S12000011","SMR01"," ",161.34,105.71
"2003/04","S12000011","SMR04"," ",272.62,211.42
"2003/04","S12000011","Total","d",433.96,311.56
"2003/04","S12000014","SMR01"," ",129.43,105.59
"2003/04","S12000014","SMR04"," ",453,306.54
"2003/04","S12000014","Total","d",582.43,395.1
"2003/04","S12000047","SMR01"," ",101.04,79.69
"2003/04","S12000047","SMR04"," ",473.87,317.34
"2003/04","S12000047","Total","d",574.91,389.91
"2003/04","S12000049","SMR01"," ",296.19,199.21
"2003/04","S12000049","SMR04"," ",644.8,458.7
"2003/04","S12000049","Total","d",940.99,640.43
"2003/04","S12000017","SMR01"," ",300.04,224.44
"2003/04","S12000017","SMR04"," ",567,413.44
"2003/04","S12000017","Total","d",867.04,604.8
"2003/04","S12000018","SMR01"," ",354.14,294.12
"2003/04","S12000018","SMR04"," ",894.36,612.24
"2003/04","S12000018","Total","d",1248.5,870.35
"2003/04","S12000019","SMR01"," ",199.3,143.25
"2003/04","S12000019","SMR04"," ",485.8,348.78
"2003/04","S12000019","Total","d",691.33,473.34
"2003/04","S12000020","SMR01"," ",242.04,191.38
"2003/04","S12000020","SMR04"," ",450.3,337.72
"2003/04","S12000020","Total","d",692.33,506.59
"2003/04","S12000013","SMR01"," ",832.39,643.21
"2003/04","S12000013","SMR04"," ",737.8,435.11
"2003/04","S12000013","Total","d",1589.1,1002.65
"2003/04","S12000021","SMR01"," ",216.42,172.4
"2003/04","S12000021","SMR04"," ",542.88,366.81
"2003/04","S12000021","Total","d",759.3,520.87
"2003/04","S12000050","SMR01"," ",214.7,145.2
"2003/04","S12000050","SMR04"," ",509.73,366.08
"2003/04","S12000050","Total","d",722.89,494.28
"2003/04","S12000023","SMR01"," ",383.83,307.06
"2003/04","S12000023","SMR04"," ",204.71,127.94
"2003/04","S12000023","Total","d",588.54,383.83
"2003/04","S12000048","SMR01"," ",128.71,110.33
"2003/04","S12000048","SMR04"," ",628.86,444.98
"2003/04","S12000048","Total","d",757.58,533.25
"2003/04","S12000038","SMR01"," ",206.92,174.87
"2003/04","S12000038","SMR04"," ",699.46,489.62
"2003/04","S12000038","Total","d",906.39,638.26
"2003/04","S12000026","SMR01"," ",249.1,207.58
"2003/04","S12000026","SMR04"," ",719.62,442.85
"2003/04","S12000026","Total","d",968.72,622.75
"2003/04","S12000027","SMR01"," ",387.24,318.91
"2003/04","S12000027","SMR04"," ",205.01,136.67
"2003/04","S12000027","Total","d",592.26,364.46
"2003/04","S12000028","SMR01"," ",304.8,233.08
"2003/04","S12000028","SMR04"," ",560.29,398.92
"2003/04","S12000028","Total","d",865.08,605.11
"2003/04","S12000029","SMR01"," ",168.05,113.68
"2003/04","S12000029","SMR04"," ",499.21,349.28
"2003/04","S12000029","Total","d",665.61,449.78
"2003/04","S12000030","SMR01"," ",103.34,97.6
"2003/04","S12000030","SMR04"," ",476.52,315.77
"2003/04","S12000030","Total","d",579.86,407.62
"2003/04","S12000039","SMR01"," ",210.88,156.81
"2003/04","S12000039","SMR04"," ",600.19,389.32
"2003/04","S12000039","Total","d",811.07,529.9
"2003/04","S12000040","SMR01"," ",163.89,120.6
"2003/04","S12000040","SMR04"," ",587.54,389.63
"2003/04","S12000040","Total","d",751.44,491.68
"2004/05","S12000033","SMR01"," ",146.76,122.7
"2004/05","S12000033","SMR04"," ",473.97,324.8
"2004/05","S12000033","Total","d",620.73,440.28
"2004/05","S12000034","SMR01"," ",121.44,102.26
"2004/05","S12000034","SMR04"," ",304.66,230.09
"2004/05","S12000034","Total","d",426.09,319.57
"2004/05","S12000041","SMR01"," ",99.85,77.15
"2004/05","S12000041","SMR04"," ",426.61,331.31
"2004/05","S12000041","Total","d",521.92,399.38
"2004/05","S12000035","SMR01"," ",386.4,298.08
"2004/05","S12000035","SMR04"," ",502.32,358.8
"2004/05","S12000035","Total","d",888.72,607.2
"2004/05","S12000036","SMR01"," ",176.06,127.84
"2004/05","S12000036","SMR04"," ",588.74,382.4
"2004/05","S12000036","Total","d",764.8,494.54
"2004/05","S12000005","SMR01"," ",71.9,61.63
"2004/05","S12000005","SMR04"," ",575.18,380.03
"2004/05","S12000005","Total","d",647.08,431.39
"2004/05","S12000006","SMR01"," ",144.59,121.05
"2004/05","S12000006","SMR04"," ",484.2,336.25
"2004/05","S12000006","Total","d",628.78,443.85
"2004/05","S12000042","SMR01"," ",153.74,136.27
"2004/05","S12000042","SMR04"," ",611.46,436.76
"2004/05","S12000042","Total","d",761.71,562.54
"2004/05","S12000008","SMR01"," ",220.45,166.38
"2004/05","S12000008","SMR04"," ",574,395.14
"2004/05","S12000008","Total","d",794.44,536.56
"2004/05","S12000045","SMR01"," ",103.25,84.48
"2004/05","S12000045","SMR04"," ",319.13,220.57
"2004/05","S12000045","Total","d",427.07,295.66
"2004/05","S12000010","SMR01"," ",113.92,92.22
"2004/05","S12000010","SMR04"," ",591.3,379.73
"2004/05","S12000010","Total","d",705.22,461.1
"2004/05","S12000011","SMR01"," ",178.19,111.37
"2004/05","S12000011","SMR04"," ",322.98,256.15
"2004/05","S12000011","Total","d",501.17,356.39
"2004/05","S12000014","SMR01"," ",114.63,94.4
"2004/05","S12000014","SMR04"," ",488.87,323.67
"2004/05","S12000014","Total","d",606.88,407.96
"2004/05","S12000047","SMR01"," ",94.89,72.23
"2004/05","S12000047","SMR04"," ",477.27,327.15
"2004/05","S12000047","Total","d",572.16,389.46
"2004/05","S12000049","SMR01"," ",261.61,181.72
"2004/05","S12000049","SMR04"," ",619.78,432.79
"2004/05","S12000049","Total","d",880.5,596.95
"2004/05","S12000017","SMR01"," ",340.23,230.7
"2004/05","S12000017","SMR04"," ",542.97,405.48
"2004/05","S12000017","Total","d",883.2,596.57
"2004/05","S12000018","SMR01"," ",290.24,247.91
"2004/05","S12000018","SMR04"," ",882.82,628.85
"2004/05","S12000018","Total","d",1173.06,840.49
"2004/05","S12000019","SMR01"," ",155.8,105.95
"2004/05","S12000019","SMR04"," ",473.64,342.76
"2004/05","S12000019","Total","d",629.44,430.01
"2004/05","S12000020","SMR01"," ",201.39,173.42
"2004/05","S12000020","SMR04"," ",430.75,307.68
"2004/05","S12000020","Total","d",632.13,464.31
"2004/05","S12000013","SMR01"," ",731.71,562.85
"2004/05","S12000013","SMR04"," ",619.14,394
"2004/05","S12000013","Total","d",1350.84,900.56
"2004/05","S12000021","SMR01"," ",230.77,161.17
"2004/05","S12000021","SMR04"," ",494.51,340.66
"2004/05","S12000021","Total","d",728.94,472.53
"2004/05","S12000050","SMR01"," ",192.07,132.15
"2004/05","S12000050","SMR04"," ",528.58,376.46
"2004/05","S12000050","Total","d",720.65,490.17
"2004/05","S12000023","SMR01"," ",428.64,327.79
"2004/05","S12000023","SMR04"," ",151.29,100.86
"2004/05","S12000023","Total","d",579.93,378.21
"2004/05","S12000048","SMR01"," ",91.31,80.35
"2004/05","S12000048","SMR04"," ",562.45,379.84
"2004/05","S12000048","Total","d",653.76,445.58
"2004/05","S12000038","SMR01"," ",166.21,139.97
"2004/05","S12000038","SMR04"," ",626.93,451.97
"2004/05","S12000038","Total","d",793.14,577.36
"2004/05","S12000026","SMR01"," ",251.26,191.87
"2004/05","S12000026","SMR04"," ",730.93,456.83
"2004/05","S12000026","Total","d",982.18,625.86
"2004/05","S12000027","SMR01"," ",316.89,248.98
"2004/05","S12000027","SMR04"," ",181.08,90.54
"2004/05","S12000027","Total","d",497.96,294.25
"2004/05","S12000028","SMR01"," ",312.95,245.89
"2004/05","S12000028","SMR04"," ",590.13,411.3
"2004/05","S12000028","Total","d",903.08,625.89
"2004/05","S12000029","SMR01"," ",186.48,119.41
"2004/05","S12000029","SMR04"," ",479.29,340.25
"2004/05","S12000029","Total","d",665.77,446.57
"2004/05","S12000030","SMR01"," ",132.31,120.8
"2004/05","S12000030","SMR04"," ",425.68,299.13
"2004/05","S12000030","Total","d",557.98,402.67
"2004/05","S12000039","SMR01"," ",271.86,217.49
"2004/05","S12000039","SMR04"," ",521.97,347.98
"2004/05","S12000039","Total","d",793.82,554.59
"2004/05","S12000040","SMR01"," ",168.15,131.47
"2004/05","S12000040","SMR04"," ",660.39,385.23
"2004/05","S12000040","Total","d",828.54,498.35
"2005/06","S12000033","SMR01"," ",134.17,107.82
"2005/06","S12000033","SMR04"," ",443.24,311.47
"2005/06","S12000033","Total","d",577.41,414.49
"2005/06","S12000034","SMR01"," ",122.07,101.02
"2005/06","S12000034","SMR04"," ",265.18,214.67
"2005/06","S12000034","Total","d",387.25,305.17
"2005/06","S12000041","SMR01"," ",76.34,67.36
"2005/06","S12000041","SMR04"," ",485,345.79
"2005/06","S12000041","Total","d",561.34,399.68
"2005/06","S12000035","SMR01"," ",431.7,343.15
"2005/06","S12000035","SMR04"," ",426.17,304.41
"2005/06","S12000035","Total","d",857.87,614.35
"2005/06","S12000036","SMR01"," ",202.46,140.17
"2005/06","S12000036","SMR04"," ",529.51,359.31
"2005/06","S12000036","Total","d",731.97,483.9
"2005/06","S12000005","SMR01"," ",101.71,81.37
"2005/06","S12000005","SMR04"," ",447.52,294.96
"2005/06","S12000005","Total","d",559.4,376.32
"2005/06","S12000006","SMR01"," ",133.67,103.6
"2005/06","S12000006","SMR04"," ",457.83,330.84
"2005/06","S12000006","Total","d",591.5,421.07
"2005/06","S12000042","SMR01"," ",146.24,139.28
"2005/06","S12000042","SMR04"," ",581.48,417.83
"2005/06","S12000042","Total","d",727.72,543.18
"2005/06","S12000008","SMR01"," ",191.22,153.81
"2005/06","S12000008","SMR04"," ",532.09,365.81
"2005/06","S12000008","Total","d",723.31,502.99
"2005/06","S12000045","SMR01"," ",89.59,66.01
"2005/06","S12000045","SMR04"," ",315.92,216.9
"2005/06","S12000045","Total","d",405.51,278.2
"2005/06","S12000010","SMR01"," ",172.54,113.23
"2005/06","S12000010","SMR04"," ",587.73,377.44
"2005/06","S12000010","Total","d",760.27,474.5
"2005/06","S12000011","SMR01"," ",161.33,105.7
"2005/06","S12000011","SMR04"," ",344.9,255.9
"2005/06","S12000011","Total","d",511.79,350.47
"2005/06","S12000014","SMR01"," ",86.59,66.61
"2005/06","S12000014","SMR04"," ",469.59,309.73
"2005/06","S12000014","Total","d",556.18,373.01
"2005/06","S12000047","SMR01"," ",94.24,73.14
"2005/06","S12000047","SMR04"," ",499.35,346.03
"2005/06","S12000047","Total","d",593.6,412.14
"2005/06","S12000049","SMR01"," ",274.04,181.82
"2005/06","S12000049","SMR04"," ",610.45,433.9
"2005/06","S12000049","Total","d",883.62,596.4
"2005/06","S12000017","SMR01"," ",304.96,210.95
"2005/06","S12000017","SMR04"," ",495.28,373.75
"2005/06","S12000017","Total","d",800.24,557.19
"2005/06","S12000018","SMR01"," ",314.47,247.94
"2005/06","S12000018","SMR04"," ",822.45,592.65
"2005/06","S12000018","Total","d",1136.91,804.31
"2005/06","S12000019","SMR01"," ",143.66,99.94
"2005/06","S12000019","SMR04"," ",443.47,306.06
"2005/06","S12000019","Total","d",587.13,387.26
"2005/06","S12000020","SMR01"," ",166.48,133.19
"2005/06","S12000020","SMR04"," ",405.11,316.32
"2005/06","S12000020","Total","d",571.59,438.4
"2005/06","S12000013","SMR01"," ",798.37,612.7
"2005/06","S12000013","SMR04"," ",631.27,445.6
"2005/06","S12000013","Total","d",1429.63,1021.17
"2005/06","S12000021","SMR01"," ",190.21,153.63
"2005/06","S12000021","SMR04"," ",501.13,351.16
"2005/06","S12000021","Total","d",691.35,490.16
"2005/06","S12000050","SMR01"," ",203.28,137.56
"2005/06","S12000050","SMR04"," ",461.58,314.85
"2005/06","S12000050","Total","d",664.85,434.06
"2005/06","S12000023","SMR01"," ",224.22,199.3
"2005/06","S12000023","SMR04"," ",149.48,124.56
"2005/06","S12000023","Total","d",373.69,274.04
"2005/06","S12000048","SMR01"," ",90.54,79.68
"2005/06","S12000048","SMR04"," ",503.4,358.54
"2005/06","S12000048","Total","d",593.94,423.73
"2005/06","S12000038","SMR01"," ",183.75,151.67
"2005/06","S12000038","SMR04"," ",624.16,428.75
"2005/06","S12000038","Total","d",807.91,562.91
"2005/06","S12000026","SMR01"," ",272.11,199.55
"2005/06","S12000026","SMR04"," ",575.96,376.42
"2005/06","S12000026","Total","d",852.61,548.75
"2005/06","S12000027","SMR01"," ",269.66,202.25
"2005/06","S12000027","SMR04"," ",134.83,89.89
"2005/06","S12000027","Total","d",404.49,247.19
"2005/06","S12000028","SMR01"," ",294.56,227.62
"2005/06","S12000028","SMR04"," ",548.96,388.29
"2005/06","S12000028","Total","d",843.52,580.2
"2005/06","S12000029","SMR01"," ",169.46,105.91
"2005/06","S12000029","SMR04"," ",454.62,325.89
"2005/06","S12000029","Total","d",624.08,420.4
"2005/06","S12000030","SMR01"," ",102.85,85.7
"2005/06","S12000030","SMR04"," ",399.95,274.25
"2005/06","S12000030","Total","d",502.8,354.25
"2005/06","S12000039","SMR01"," ",240.36,174.81
"2005/06","S12000039","SMR04"," ",524.42,333.22
"2005/06","S12000039","Total","d",764.78,486.18
"2005/06","S12000040","SMR01"," ",154.54,124.23
"2005/06","S12000040","SMR04"," ",672.69,396.95
"2005/06","S12000040","Total","d",830.25,499.97
"2006/07","S12000033","SMR01"," ",155.04,124.03
"2006/07","S12000033","SMR04"," ",415.02,305.3
"2006/07","S12000033","Total","d",570.05,415.02
"2006/07","S12000034","SMR01"," ",101.58,87.07
"2006/07","S12000034","SMR04"," ",290.24,230.12
"2006/07","S12000034","Total","d",391.82,304.75
"2006/07","S12000041","SMR01"," ",80,71.11
"2006/07","S12000041","SMR04"," ",413.33,297.78
"2006/07","S12000041","Total","d",493.33,364.44
"2006/07","S12000035","SMR01"," ",445.74,319.17
"2006/07","S12000035","SMR04"," ",423.73,302.66
"2006/07","S12000035","Total","d",869.47,583.31
"2006/07","S12000036","SMR01"," ",224.54,144.9
"2006/07","S12000036","SMR04"," ",495.53,339.57
"2006/07","S12000036","Total","d",720.07,466.77
"2006/07","S12000005","SMR01"," ",100.93,70.65
"2006/07","S12000005","SMR04"," ",484.46,322.97
"2006/07","S12000005","Total","d",585.39,383.53
"2006/07","S12000006","SMR01"," ",156.91,130.2
"2006/07","S12000006","SMR04"," ",423.98,317.15
"2006/07","S12000006","Total","d",580.89,430.66
"2006/07","S12000042","SMR01"," ",97.66,90.68
"2006/07","S12000042","SMR04"," ",505.72,373.19
"2006/07","S12000042","Total","d",603.38,460.38
"2006/07","S12000008","SMR01"," ",220.03,178.51
"2006/07","S12000008","SMR04"," ",452.51,344.57
"2006/07","S12000008","Total","d",672.53,506.48
"2006/07","S12000045","SMR01"," ",132.59,89.97
"2006/07","S12000045","SMR04"," ",317.26,217.82
"2006/07","S12000045","Total","d",449.85,303.06
"2006/07","S12000010","SMR01"," ",154.5,111.88
"2006/07","S12000010","SMR04"," ",516.78,335.64
"2006/07","S12000010","Total","d",671.28,436.87
"2006/07","S12000011","SMR01"," ",206.13,128.13
"2006/07","S12000011","SMR04"," ",300.84,211.7
"2006/07","S12000011","Total","d",506.96,334.26
"2006/07","S12000014","SMR01"," ",95.97,66.19
"2006/07","S12000014","SMR04"," ",397.11,274.67
"2006/07","S12000014","Total","d",493.08,330.93
"2006/07","S12000047","SMR01"," ",117.56,85.37
"2006/07","S12000047","SMR04"," ",443.65,305.1
"2006/07","S12000047","Total","d",561.22,376.48
"2006/07","S12000049","SMR01"," ",325.44,216.37
"2006/07","S12000049","SMR04"," ",579.64,412.52
"2006/07","S12000049","Total","d",905.08,609.54
"2006/07","S12000017","SMR01"," ",346.5,219.68
"2006/07","S12000017","SMR04"," ",452.94,341.97
"2006/07","S12000017","Total","d",799.44,527.67
"2006/07","S12000018","SMR01"," ",358.36,297.62
"2006/07","S12000018","SMR04"," ",753.16,552.72
"2006/07","S12000018","Total","d",1111.52,813.9
"2006/07","S12000019","SMR01"," ",218.78,131.27
"2006/07","S12000019","SMR04"," ",368.8,262.53
"2006/07","S12000019","Total","d",587.57,381.3
"2006/07","S12000020","SMR01"," ",181.76,143.2
"2006/07","S12000020","SMR04"," ",358.01,275.39
"2006/07","S12000020","Total","d",545.27,407.58
"2006/07","S12000013","SMR01"," ",868.44,646.71
"2006/07","S12000013","SMR04"," ",443.46,332.59
"2006/07","S12000013","Total","d",1311.9,923.87
"2006/07","S12000021","SMR01"," ",182.76,153.52
"2006/07","S12000021","SMR04"," ",442.28,303.38
"2006/07","S12000021","Total","d",625.05,442.28
"2006/07","S12000050","SMR01"," ",246.4,156.66
"2006/07","S12000050","SMR04"," ",491.27,325.49
"2006/07","S12000050","Total","d",737.67,460.85
"2006/07","S12000023","SMR01"," ",245.82,172.07
"2006/07","S12000023","SMR04"," ",147.49,122.91
"2006/07","S12000023","Total","d",393.31,245.82
"2006/07","S12000048","SMR01"," ",125.56,104.03
"2006/07","S12000048","SMR04"," ",556.03,405.37
"2006/07","S12000048","Total","d",681.59,484.29
"2006/07","S12000038","SMR01"," ",268.58,218.95
"2006/07","S12000038","SMR04"," ",586.79,402.87
"2006/07","S12000038","Total","d",852.46,595.55
"2006/07","S12000026","SMR01"," ",293.16,230.02
"2006/07","S12000026","SMR04"," ",739.67,392.39
"2006/07","S12000026","Total","d",1032.83,595.35
"2006/07","S12000027","SMR01"," ",337.69,270.15
"2006/07","S12000027","SMR04"," ",180.1,135.07
"2006/07","S12000027","Total","d",517.78,337.69
"2006/07","S12000028","SMR01"," ",272.08,227.48
"2006/07","S12000028","SMR04"," ",530.78,365.74
"2006/07","S12000028","Total","d",802.85,557.54
"2006/07","S12000029","SMR01"," ",186.42,119.95
"2006/07","S12000029","SMR04"," ",429.57,298.27
"2006/07","S12000029","Total","d",617.6,405.25
"2006/07","S12000030","SMR01"," ",107.84,90.82
"2006/07","S12000030","SMR04"," ",391.64,272.45
"2006/07","S12000030","Total","d",499.49,351.91
"2006/07","S12000039","SMR01"," ",262.55,191.45
"2006/07","S12000039","SMR04"," ",475.88,311.78
"2006/07","S12000039","Total","d",732.96,486.82
"2006/07","S12000040","SMR01"," ",191.49,149.6
"2006/07","S12000040","SMR04"," ",535.58,338.1
"2006/07","S12000040","Total","d",727.07,463.77
"2007/08","S12000033","SMR01"," ",183.56,134.14
"2007/08","S12000033","SMR04"," ",390.64,277.69
"2007/08","S12000033","Total","d",574.2,397.7
"2007/08","S12000034","SMR01"," ",118.66,96.16
"2007/08","S12000034","SMR04"," ",278.24,208.68
"2007/08","S12000034","Total","d",398.95,298.7
"2007/08","S12000041","SMR01"," ",74.86,70.46
"2007/08","S12000041","SMR04"," ",471.2,325.88
"2007/08","S12000041","Total","d",546.06,383.12
"2007/08","S12000035","SMR01"," ",468.11,341.45
"2007/08","S12000035","SMR04"," ",418.55,324.93
"2007/08","S12000035","Total","d",886.66,633.33
"2007/08","S12000036","SMR01"," ",251.07,156.78
"2007/08","S12000036","SMR04"," ",470.35,337.69
"2007/08","S12000036","Total","d",721.43,475.84
"2007/08","S12000005","SMR01"," ",108.7,88.93
"2007/08","S12000005","SMR04"," ",454.55,286.56
"2007/08","S12000005","Total","d",563.24,375.49
"2007/08","S12000006","SMR01"," ",199.51,149.63
"2007/08","S12000006","SMR04"," ",399.02,299.26
"2007/08","S12000006","Total","d",598.52,432.27
"2007/08","S12000042","SMR01"," ",142.66,121.78
"2007/08","S12000042","SMR04"," ",455.81,347.95
"2007/08","S12000042","Total","d",598.47,459.29
"2007/08","S12000008","SMR01"," ",231.5,190.16
"2007/08","S12000008","SMR04"," ",463,318.31
"2007/08","S12000008","Total","d",690.37,479.54
"2007/08","S12000045","SMR01"," ",118.99,90.43
"2007/08","S12000045","SMR04"," ",309.38,228.46
"2007/08","S12000045","Total","d",428.37,309.38
"2007/08","S12000010","SMR01"," ",156.95,120.33
"2007/08","S12000010","SMR04"," ",429,313.91
"2007/08","S12000010","Total","d",580.73,418.54
"2007/08","S12000011","SMR01"," ",200.36,133.57
"2007/08","S12000011","SMR04"," ",322.8,217.05
"2007/08","S12000011","Total","d",523.15,339.49
"2007/08","S12000014","SMR01"," ",108.32,82.06
"2007/08","S12000014","SMR04"," ",393.91,269.17
"2007/08","S12000014","Total","d",498.95,344.67
"2007/08","S12000047","SMR01"," ",175.61,117.08
"2007/08","S12000047","SMR04"," ",461.34,312.2
"2007/08","S12000047","Total","d",635.56,412.56
"2007/08","S12000049","SMR01"," ",368.16,229.12
"2007/08","S12000049","SMR04"," ",550.06,399.64
"2007/08","S12000049","Total","d",918.22,608.65
"2007/08","S12000017","SMR01"," ",348.21,225.45
"2007/08","S12000017","SMR04"," ",446.43,352.68
"2007/08","S12000017","Total","d",794.64,553.57
"2007/08","S12000018","SMR01"," ",414.08,316.65
"2007/08","S12000018","SMR04"," ",669.83,517.6
"2007/08","S12000018","Total","d",1090,785.53
"2007/08","S12000019","SMR01"," ",205.3,136.87
"2007/08","S12000019","SMR04"," ",342.17,236.41
"2007/08","S12000019","Total","d",547.47,348.39
"2007/08","S12000020","SMR01"," ",213.25,158.57
"2007/08","S12000020","SMR04"," ",339.02,251.53
"2007/08","S12000020","Total","d",552.27,388.23
"2007/08","S12000013","SMR01"," ",569.64,459.39
"2007/08","S12000013","SMR04"," ",422.64,312.39
"2007/08","S12000013","Total","d",992.28,735.02
"2007/08","S12000021","SMR01"," ",203.75,152.82
"2007/08","S12000021","SMR04"," ",451.17,312.91
"2007/08","S12000021","Total","d",658.56,451.17
"2007/08","S12000050","SMR01"," ",372.93,211.38
"2007/08","S12000050","SMR04"," ",437.85,298.95
"2007/08","S12000050","Total","d",810.79,489.19
"2007/08","S12000023","SMR01"," ",267.25,242.95
"2007/08","S12000023","SMR04"," ",170.07,145.77
"2007/08","S12000023","Total","d",461.61,340.14
"2007/08","S12000048","SMR01"," ",138.16,113.36
"2007/08","S12000048","SMR04"," ",559.73,389.68
"2007/08","S12000048","Total","d",694.35,488.88
"2007/08","S12000038","SMR01"," ",247.28,180.37
"2007/08","S12000038","SMR04"," ",544.02,384.01
"2007/08","S12000038","Total","d",788.39,541.11
"2007/08","S12000026","SMR01"," ",249.55,182.71
"2007/08","S12000026","SMR04"," ",650.62,387.7
"2007/08","S12000026","Total","d",895.72,552.58
"2007/08","S12000027","SMR01"," ",313.2,246.09
"2007/08","S12000027","SMR04"," ",178.97,156.6
"2007/08","S12000027","Total","d",514.54,335.57
"2007/08","S12000028","SMR01"," ",275.85,226.91
"2007/08","S12000028","SMR04"," ",551.7,382.63
"2007/08","S12000028","Total","d",827.55,582.84
"2007/08","S12000029","SMR01"," ",196.54,124.05
"2007/08","S12000029","SMR04"," ",441.41,293.2
"2007/08","S12000029","Total","d",637.95,405.97
"2007/08","S12000030","SMR01"," ",113.08,84.81
"2007/08","S12000030","SMR04"," ",356.21,231.82
"2007/08","S12000030","Total","d",469.3,305.33
"2007/08","S12000039","SMR01"," ",251.72,169.64
"2007/08","S12000039","SMR04"," ",487.03,317.39
"2007/08","S12000039","Total","d",738.75,476.09
"2007/08","S12000040","SMR01"," ",247.83,188.82
"2007/08","S12000040","SMR04"," ",507.46,324.54
"2007/08","S12000040","Total","d",755.3,483.86
"2008/09","S12000033","SMR01"," ",226.61,154.19
"2008/09","S12000033","SMR04"," ",408.84,294.37
"2008/09","S12000033","Total","d",635.45,436.88
"2008/09","S12000034","SMR01"," ",105.34,91.16
"2008/09","S12000034","SMR04"," ",259.29,208.65
"2008/09","S12000034","Total","d",364.62,291.7
"2008/09","S12000041","SMR01"," ",82.98,74.24
"2008/09","S12000041","SMR04"," ",467.29,327.54
"2008/09","S12000041","Total","d",550.27,393.05
"2008/09","S12000035","SMR01"," ",483.82,367.03
"2008/09","S12000035","SMR04"," ",439.33,328.11
"2008/09","S12000035","Total","d",923.15,639.53
"2008/09","S12000036","SMR01"," ",240.99,143.94
"2008/09","S12000036","SMR04"," ",458,331.5
"2008/09","S12000036","Total","d",697.9,458
